trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9588697805724845}",30,0,-148.81687811958145,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9579113900670306}",35,0,-257.8477289867564,"{0: 17, 1: 7, 2: 6, 3: 1, 4: 4}",0
44,False,"{'a': 0.01, 'e': 0.9569539574730467}",25,0,-252.9269752824949,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
45,False,"{'a': 0.01, 'e': 0.9559974818331}",20,0,-57.85363129816826,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.9550419621907147}",25,11,-80.26614128906678,"{0: 8, 1: 3, 2: 0, 3: 2, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.9540873975903711}",30,0,-133.1496068754411,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.9531337870775047}",20,0,-50.06954759373295,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.9521811296985049}",25,0,-95.61795029901869,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-69.95009121100537,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.950278670532427}",25,0,-136.8737107202013,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.9493288668428895}",30,0,-207.48070302054325,"{0: 14, 1: 7, 2: 5, 3: 1, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.9483800124822982}",20,8,-51.012494549561936,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.9474321065017983}",20,0,-58.80605757207142,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.9464851479534838}",20,0,-116.71783870112591,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.9455391358903963}",25,2,-90.92209581779402,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.9445940693665233}",25,7,-187.97271532949327,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 4}",1
58,False,"{'a': 0.01, 'e': 0.9436499474367985}",35,0,-253.19814547746589,"{0: 21, 1: 1, 2: 7, 3: 2, 4: 4}",0
59,False,"{'a': 0.01, 'e': 0.9427067691570997}",20,0,-112.2492572460389,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,12,-28.890754016728764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.9408232397760097}",25,0,-85.21262629856766,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.9398828867910889}",25,0,-121.80153941526,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.9389434736891332}",20,0,-118.60402726339417,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.9380049995307295}",20,0,-54.079406795514046,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.9370674633774034}",25,5,-105.56634013816085,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.9361308642916188}",25,0,-78.5780596044884,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
